Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Week-1,5938,13831,12,15,1.957,15.2,608,18.11,26.42,25.9,852,2203,126.4,40,329,2,102,5.61,402.8,2.21,3958.043,183.1,86.678,319.32,78,20.7,6315.937
Week-2,6925,23271,20.5,16,1.979,16.9,617,21.07,24.11,25.4,1806,2360,82.4,115,349,9,124,5.16,421.3,2.29,3369.694,183.9,157.102,320.36,159,17.9,6015.683
Week-3,4353,9756,21,18,2.012,15.3,625,15.77,23.63,24.9,1356,2254,78.1,100,323,6,117,4.63,431.2,2.82,3485.242,163.1,104.829,320.82,29,18.8,4525.167
Week-4,6855,7899,15.5,27,2.045,14.9,636,24.17,24.13,24,1233,2165,51.1,80,324,6,115,5.05,426.2,2.03,3437.691,179.5,70.084,322.06,104,14.6,5361.574
Week-5,6216,15778,15.3,21,2.056,15.7,657,14.71,24.58,24.5,1590,2024,90.9,60,333,9,119,4.95,425.5,2.32,3702.352,181.4,66.12,322.17,82,15.8,4267.812
Week-6,7061,25362,23.5,49,2.068,15.1,691,22.54,27.26,23,1273,2078,76.2,40,335,6,120,4.71,423.6,1.88,3817.61,173.4,148.89,321.95,148,15.8,5854.839
Week-7,4417,11618,24.5,21,2.056,16.7,728,25.79,27.28,22.7,1770,2214,104.5,23,321,6,126,4.46,435.7,1.78,2875.578,167.6,355.66,321.2,28,15.8,5865.558
Week-8,7505,8553,21.3,22,2.043,16.3,784,16.94,27.67,22.1,1734,2292,87.4,10,290,1,132,4.65,445.2,2.64,3054.686,177.4,691.781,318.81,256,17.4,7050.468
Week-9,6778,17512,23.5,28,2.029,16.5,816,12.99,28.5,22.2,1457,2207,110.5,10,295,1,135,4.89,450.1,1.82,4724.15,171.7,728.876,317.82,355,21.8,6015.683
Week-10,8169,29409,28,36,1.998,13.3,876,24.68,28.19,22.9,1357,2119,25,25,297,5.6,139,5.06,450.1,1.74,3834.007,170.1,216.652,317.37,49,20,5945.988
Week-11,5290,12008,24,40,1.988,16.5,949,25.22,27.33,23.6,1716,2119,69.3,75,316,9,156,5.1,439.1,2.07,3076.773,163.7,65.922,318.93,214,16.2,5114.941
Week-12,7710,9611,15.5,3,1.984,15,997,19.81,26.34,24.7,1445,2137,53.5,145,309,6,168,5.31,419,1.94,2965.759,151.9,53.491,319.09,12,13.3,4782.523
Week-13,6213,18316,17.3,21,1.977,15.9,1027,20.89,25.76,24.5,1468,2132,39.8,130,310,1,174,4.41,417.9,1.54,3461.708,145.4,71.953,319.94,34,16.7,5854.839
Week-14,7952,34025,25.3,29,1.975,15.5,1047,14.4,25.99,25.4,1452,1955,63.6,130,308,5,159,4.41,384.2,1.32,3141.01,145,79.429,320.98,285,21.5,6085.386
Week-15,5476,14763,25,62,1.963,16.9,1049,15.21,23.6,25.7,1098,1785,46.7,80,306,1,149,4.01,385.4,1.64,3371.237,138.9,58.503,321.81,9,25,6122.917
Week-16,7990,11494,36.5,65,1.94,16.4,1018,16.08,23.55,26,1238,1747,72.9,65,294,5.1,143,3.89,374.4,1.16,2988.425,131.5,101.516,323.03,23,20.7,7484.757
Week-17,7747,21094,36.5,46,1.931,14.9,1021,21.57,26.76,26.5,2478,1818,79.6,20,298,6,143,3.53,401.3,1.51,3607.541,125.7,131.56,323.36,85,20.6,4358.957
Week-18,8908,36605,29.6,44,1.927,14.5,1012,18.13,29.3,27.2,832,1909,83.6,10,315,6,150,3.38,382.7,1.79,2946.083,129.5,105.537,323.11,161,24.8,6176.535
Week-19,5369,17073,30.5,33,1.924,16.6,1018,24.18,28.23,28.3,1289,1958,80.7,5,302,6,153,3.29,403.5,1.52,2709.2,129.6,434.664,321.65,44,17.7,4535.89
Week-20,7794,13392,28,62,1.941,15.1,991,15.26,28.33,28.1,1470,1892,60.3,10,299,9,141,3.15,410,1.61,3294.848,129.5,1020.539,319.64,100,15.5,4337.511
Week-21,7543,23566,26,22,1.969,14.6,962,7.64,29.91,29.1,1628,1919,79,60,301,9,144,3.08,454.6,1.49,3556.615,132.2,1095.013,317.86,152,18.2,3924.671
Week-22,8533,40104,21.5,12,1.973,16,921,18.64,29.58,29.9,1459,1853,74.4,190,294,6,128,3,448.2,1.17,3653.934,134.1,257.598,317.25,38,12.1,4895.117
Week-23,5564,18008,19.7,24,1.974,16.8,871,11.99,26.74,29.7,2256,1868,49.6,180,264,0,102,2.96,489.5,0.99,3846.064,132.1,71.67,319.06,5,14.4,6224.789
Week-24,6997,13533,19,3,1.95,16.8,829,4.85,27.75,30.9,2058,1991,54.7,175,233,1,100,2.86,476.2,1.26,3713.637,137.4,68.357,320.26,24,16,5275.789
Week-25,6678,23879,16,5,1.943,15.5,822,12.63,26.22,31.1,1487,2111,71.8,120,311,6,112,2.93,473.2,0.88,4252.313,148.1,59.777,321.65,127,16.5,4144.496
Week-26,7730,41352,20.7,14,1.957,17.3,820,14.93,28.92,31.4,1581,2119,49.1,50,321,6,115,2.57,475.1,0.99,3657.503,174.1,89.481,321.81,15,18.7,3238.391
Week-27,4790,18906,26.5,36,1.965,15.5,802,14.77,30.24,32.5,1569,1991,103.9,35,297,1,115,2.73,476.6,1.48,3639.37,174.7,59.465,322.36,27,19.4,4696.738
Week-28,6027,15460,30.6,40,1.971,15.5,821,14.11,31.22,36.5,468,1859,51.6,20,297,6,112,2.63,502.7,0.96,3197.722,156.7,56.747,323.67,81,17.2,5082.773
Week-29,5877,23830,32.3,49,1.972,14.2,819,10.88,26.08,45,503,1856,82.4,10,314,9,114,2.72,506.5,1.94,3112.749,143.3,62.722,324.17,105,15.5,3436.769
Week-30,7413,42281,29.5,7,1.996,15.8,791,9.33,26.53,52.6,597,1924,83.6,15,333,6,114,2.51,499.7,1.01,2353.684,189.7,122.81,323.39,75,15.1,5522.417
Week-31,4459,18743,28.3,52,2,15.7,746,22,25.08,53.8,1539,1892,77.8,30,326,9,104,2.49,495.5,1.44,2843.652,212,521.88,321.93,21,15.4,5195.363
Week-32,5966,13084,31.3,65,1.99,14.1,726,18.24,26.72,61.3,1423,1916,79.3,60,306,1,100,2.49,522.8,1.28,2194.926,200.4,1102.375,320.29,30,15.3,4466.191
Week-33,5305,24059,32.2,17,1.975,14.8,661,14.04,26.36,52.2,1246,1968,89.6,105,293,1,100,2.44,537.1,1.31,2689.428,201.8,1071.51,318.58,337,18.8,5785.14
Week-34,6238,43611,26.4,5,1.949,14.4,620,16.03,26.91,49.5,1508,1928,85.5,105,276,1,100,2.31,509.1,1.36,2950.906,200.7,282.461,318.6,34,21.9,6943.238
Week-35,3689,17097,23.4,17,1.933,15.6,588,14.5,27.55,50.7,1047,1898,58,105,286,1,102,2.29,502.7,0.85,2247.877,215.6,86.48,319.98,11,19.9,4777.16
Week-36,5146,11683,16.4,1,1.914,13.9,568,10.79,27.41,50.1,1307,1850,120.7,80,286,6,100,2.14,500.4,1.13,2628.279,222.5,48.847,321.25,59,16.6,4996.984
